GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CAMIONETA FORD RANGER LIMITED ANF4;;(GCG) dp 98;0,00;1.655.191,00;-29.793.438,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;29.793.438,00;-29.793.438,00
Total CAMIONETA FORD RANGER LIMITED ANF4 ACTIF-128;;;;;;;220.692.148,00;29.793.438,00;190.898.710,00
CAMIONETA NISSAN NP300 FRONTIER JEM931 ACTFI-027;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;3.600.000,00;-3.600.000,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;3.600.000,00;-3.600.000,00
Total CAMIONETA NISSAN NP300 FRONTIER JEM931 ACTFI-027;;;;;;;0,00;3.600.000,00;-3.600.000,00
CAMIONETA TOYOTA FORTUNER SW4 SR 2,4 DIESEL A/T ACTIF-080 CAMIONETA TOYOTA;154005 AUTOS, CAMIONETAS Y CAMPEROS;;31/12/2025;SALDO INICIAL;;;193.889.764,00;0,00;193.889.764,00
;Total 154005 AUTOS, CAMIONETAS Y CAMPEROS;;;;;;193.889.764,00;0,00;193.889.764,00
;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;47.987.709,00;-47.987.709,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CAMIONETA TOYOTA FORTUNER SW4 SR 2,4 DIESEL A/T;;(GCG) dp 96;0,00;1.454.173,00;-49.441.882,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CAMIONETA TOYOTA FORTUNER SW4 SR 2,4 DIESEL A/T;;(GCG) dp 97;0,00;1.454.173,00;-50.896.055,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CAMIONETA TOYOTA FORTUNER SW4 SR 2,4 DIESEL A/T;;(GCG) dp 98;0,00;1.454.173,00;-52.350.228,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;52.350.228,00;-52.350.228,00
Total CAMIONETA TOYOTA FORTUNER SW4 SR 2,4 DIESEL A/T ACTIF-080 CAMIONETA TOYOTA;;;;;;;193.889.764,00;52.350.228,00;141.539.536,00
CAMIONETA TOYOTA HILUX DC 4X 4 ACTIF-125;154005 AUTOS, CAMIONETAS Y CAMPEROS;;31/12/2025;SALDO INICIAL;;;230.711.111,00;0,00;230.711.111,00
;Total 154005 AUTOS, CAMIONETAS Y CAMPEROS;;;;;;230.711.111,00;0,00;230.711.111,00
;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;27.685.328,00;-27.685.328,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CAMIONETA TOYOTA HILUX DC 4X 4;;(GCG) dp 96;0,00;1.730.333,00;-29.415.661,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CAMIONETA TOYOTA HILUX DC 4X 4;;(GCG) dp 97;0,00;1.730.333,00;-31.145.994,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CAMIONETA TOYOTA HILUX DC 4X 4;;(GCG) dp 98;0,00;1.730.333,00;-32.876.327,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;32.876.327,00;-32.876.327,00
Total CAMIONETA TOYOTA HILUX DC 4X 4 ACTIF-125;;;;;;;230.711.111,00;32.876.327,00;197.834.784,00
CARRO DE MANO PLEGABLE ACTIF-045 CARRO DE MANO PLEGABLE;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;639.901,00;0,00;639.901,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;639.901,00;0,00;639.901,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;575.911,00;-575.911,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;575.911,00;-575.911,00
Total CARRO DE MANO PLEGABLE ACTIF-045 CARRO DE MANO PLEGABLE;;;;;;;639.901,00;575.911,00;63.990,00
CARRO PORTA ROLLO DE ZUNCHO ACTIF-119;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;210.000,00;0,00;210.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;210.000,00;0,00;210.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;31.500,00;-31.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CARRO PORTA ROLLO DE ZUNCHO;;(GCG) dp 96;0,00;1.575,00;-33.075,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CARRO PORTA ROLLO DE ZUNCHO;;(GCG) dp 97;0,00;1.575,00;-34.650,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CARRO PORTA ROLLO DE ZUNCHO;;(GCG) dp 98;0,00;1.575,00;-36.225,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;36.225,00;-36.225,00
Total CARRO PORTA ROLLO DE ZUNCHO ACTIF-119;;;;;;;210.000,00;36.225,00;173.775,00
CARROCERIA FURGON ACTIF-096;154008 CAMIONES, VOLQUETAS Y FURGONES;;31/12/2025;SALDO INICIAL;;;12.370.000,00;0,00;12.370.000,00
;Total 154008 CAMIONES, VOLQUETAS Y FURGONES;;;;;;12.370.000,00;0,00;12.370.000,00
;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;2.226.600,00;-2.226.600,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CARROCERIA FURGON;;(GCG) dp 96;0,00;92.775,00;-2.319.375,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CARROCERIA FURGON;;(GCG) dp 97;0,00;92.775,00;-2.412.150,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CARROCERIA FURGON;;(GCG) dp 98;0,00;92.775,00;-2.504.925,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;2.504.925,00;-2.504.925,00
Total CARROCERIA FURGON ACTIF-096;;;;;;;12.370.000,00;2.504.925,00;9.865.075,00
